GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
508.2,4890.8,0.1,738.8,0.6414,0.109093,0.95482,0.903208,0.927811
886.4,4486.2,0.2,1023.8,0.1418,0.198463,0.97754,0.970622,0.973887
890.6,3018.8,0.3,938,0.0656,0.299482,0.992547,0.977832,0.985121
890.6,2254.4,0.4,898.6,0.0354,0.400691,0.991189,0.977459,0.98418
890.6,1798.6,0.5,879.2,0.0208,0.498634,0.990507,0.983918,0.987184
890.6,1496.2,0.6,860.8,0.0172,0.584066,0.96972,0.988424,0.97871
890.6,1280.8,0.7,925.4,0.0146,0.681406,0.973455,0.993607,0.98316
890.6,1119.8,0.8,907.6,0.0136,0.788382,0.990235,0.99922,0.994696
890.6,994.6,0.9,903.6,0.013,0.867331,0.966233,0.997617,0.981003
