GT inlier,Correspondence,Adjust,Reduce,Total time, Inlier rate,Recall,Precision,F1-score
589.8,5623.4,0.1,879.2,0.2814,0.101052,0.931024,0.966071,0.948107
927,4698.4,0.2,1114.2,0.0814,0.187343,0.943658,0.992712,0.967348
969.2,3285,0.3,1000.4,0.0374,0.283723,0.95476,0.992786,0.97328
969.2,2453.2,0.4,913.8,0.0268,0.375422,0.947251,0.996863,0.971233
969.2,1957.6,0.5,884.6,0.0214,0.459779,0.927331,0.998622,0.960511
969.2,1628.6,0.6,973.4,0.0204,0.544718,0.914934,0.999694,0.954812
969.2,1394,0.7,952.2,0.0164,0.621056,0.892559,0.999174,0.941858
969.2,1218.8,0.8,931.4,0.0134,0.73253,0.920734,0.999557,0.957441
969.2,1082.2,0.9,955.4,0.0136,0.814745,0.909402,0.999687,0.952342
